time,CapMrktCurUSD
2021-06-13,729231971944.1294
2021-06-14,757932558315.0496
2021-06-15,754200836376.5773
2021-06-16,716962840858.3022
2021-06-17,712367675979.0337
2021-06-18,669218352695.6392
2021-06-19,666274332004.6891
2021-06-20,667121552365.0758
2021-06-21,594343881161.0618
2021-06-22,607094219837.7976
2021-06-23,629902934904.7167
2021-06-24,649575438469.43
2021-06-25,593831228445.3011
2021-06-26,597731932924.4774
2021-06-27,646773066239.3123
2021-06-28,644349642813.4773
2021-06-29,673565423656.2107
2021-06-30,657308520165.8943
2021-07-01,628078911133.4493
2021-07-02,633306719050.4342
2021-07-03,648430198161.1792
2021-07-04,662841855840.3812
2021-07-05,635800664838.8307
2021-07-06,639809939899.6041
2021-07-07,636229302844.7091
2021-07-08,615408206333.4872
2021-07-09,635972699231.9186
2021-07-10,630307119097.991
2021-07-11,642476387837.8834
2021-07-12,621438096852.9285
2021-07-13,612214949439.348
2021-07-14,615181434967.0844
2021-07-15,594751052034.9653
2021-07-16,590054215680.704
2021-07-17,591812552914.4733
2021-07-18,594837912850.213
2021-07-19,579408058603.4889
2021-07-20,558478126514.6531
2021-07-21,602653902984.2952
2021-07-22,606199143136.722
2021-07-23,627479802970.8693
2021-07-24,641160519675.9818
2021-07-25,659078087900.031
2021-07-26,702742383037.9468
2021-07-27,734346228533.4615
2021-07-28,749637705826.2058
2021-07-29,752436348341.3021
2021-07-30,784455260094.139
2021-07-31,784564984126.0333
2021-08-01,750355941541.017
2021-08-02,737910797087.4546
2021-08-03,718888492618.7064
2021-08-04,746805401841.9286
2021-08-05,768772119139.358
2021-08-06,803528296774.2887
2021-08-07,835395295482.4253
2021-08-08,825812457038.7324
2021-08-09,868926021044.1497
2021-08-10,854382704549.5063
2021-08-11,857947004307.331
2021-08-12,834123407129.0948
2021-08-13,896373859155.2133
2021-08-14,885277380213.1919
2021-08-15,884394736774.213
2021-08-16,863969541715.8536
2021-08-17,840144904105.1235
2021-08-18,844697273128.4824
2021-08-19,876544383505.9407
2021-08-20,925337170100.1696
2021-08-21,922183481119.9332
2021-08-22,927741877823.068
2021-08-23,932079739908.4381
2021-08-24,900831282245.6066
2021-08-25,921113698122.0674
2021-08-26,887096494654.2286
2021-08-27,922070878172.4023
2021-08-28,918429163463.365
2021-08-29,920279421677.584
2021-08-30,886052810980.3136
2021-08-31,887852829053.0802
2021-09-01,915521308402.3389
2021-09-02,928373472804.1525
2021-09-03,937651654078.7664
2021-09-04,938810353594.9012
2021-09-05,973242843766.6514
2021-09-06,990093469707.9805
2021-09-07,881308435814.7441
2021-09-08,868814300650.1482
2021-09-09,873759807785.6561
2021-09-10,842129122357.554
2021-09-11,848441215860.3611
2021-09-12,868839735686.3914
2021-09-13,846512959971.3956
2021-09-14,884777283874.6704
2021-09-15,906356284523.2517
2021-09-16,899437280895.7874
2021-09-17,888499868900.2493
2021-09-18,907181161197.6664
2021-09-19,888680899050.9407
2021-09-20,806611150255.1008
2021-09-21,762806301935.1322
2021-09-22,820271543076.0717
2021-09-23,844481693316.983
2021-09-24,805781097472.616
2021-09-25,804538656841.323
2021-09-26,812031799027.2393
2021-09-27,800127083577.485
2021-09-28,776198293483.3026
2021-09-29,780565646921.4586
2021-09-30,824440444029.2034
2021-10-01,905390548127.17
2021-10-02,900066645699.4569
2021-10-03,907836753956.0886
2021-10-04,928335986047.2693
2021-10-05,971135174368.5519
2021-10-06,1043919575657.0316
2021-10-07,1013552627931.8853
