time,CapRealUSD
2015-05-11,4127423126.8598595
2015-05-12,4126872822.064617
2015-05-13,4126363190.631335
2015-05-14,4125578696.5040727
2015-05-15,4125836165.3053775
2015-05-16,4125778531.1735425
2015-05-17,4126395152.1281033
2015-05-18,4125480306.1898365
2015-05-19,4124796331.8612404
2015-05-20,4125199888.562904
2015-05-21,4125530029.8998528
2015-05-22,4125639207.255264
2015-05-23,4125198682.1525836
2015-05-24,4125985616.406937
2015-05-25,4124636140.3726773
2015-05-26,4124349254.6140122
2015-05-27,4123396306.415611
2015-05-28,4122000648.4534516
2015-05-29,4122378732.786194
2015-05-30,4110633214.4827466
2015-05-31,4109133397.342265
2015-06-01,4104944693.8010235
2015-06-02,4102957410.6761475
2015-06-03,4101245257.4361873
2015-06-04,4100593876.0552726
2015-06-05,4100543786.0326214
2015-06-06,4101042318.7991776
2015-06-07,4098738882.2046227
2015-06-08,4099470263.7045865
